Unnamed: 0,token,lemma_fll,lemma@POS,status,lemma,POS,tokenURI,sent_id,NER,RE_artikel,nested_RE_artikel
20,eventus,498532992,eventus@NN,lta-multiple-wfs-unique-lemma,eventus,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000021,1,,,
21,languentibus,6117929,langueo@V,lta-multiple-wfs-unique-lemma,langueo,V,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000022,1,,,
22,partium,241462937,pars@NN,lta-unique-wf,pars,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000023,1,,,
23,animis,757609,anima@NN,lta-multiple-wfs-unique-lemma,anima,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000024,1,,,
24,",",PUNC,PUNC@PUNC,PUNC,PUNC,PUNC,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000025,1,,,
25,quas,496011829,qui@PRO,lta-multiple-wfs-unique-lemma,qui,PRO,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000026,1,,,
26,periculorum,1240233,periculum@NN,lta-unique-wf,periculum,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000027,1,,,
27,varietas,1448229,varietas@NN,lta-unique-wf,varietas,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000028,1,,,
28,fregerat,5546208,frango@V,lta-unique-wf,frango,V,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000029,1,,,
29,et,109830,et@CON,lta-unique-wf,et,CON,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000030,1,,,
30,laborum,1126291,labor@NN,lta-multiple-wfs-unique-lemma,labor,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000031,1,,,
31,",",PUNC,PUNC@PUNC,PUNC,PUNC,PUNC,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000032,1,,,
32,nondum,206049,nondum@ADV,lta-unique-wf,nondum,ADV,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000033,1,,,
33,tubarum,1432876,tuba@NN,lta-unique-wf,tuba,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000034,1,,,
34,cessante,3997336,cesso@V,lta-multiple-wfs-unique-lemma,cesso,V,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000035,1,,,
35,clangore,243284883,clangor@NN,lta-unique-wf,clangor,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000036,1,,,
36,vel,110080,vel@CON,lta-unique-wf,vel,CON,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000037,1,,,
37,milite,202755,milite@ADV,lta-unique-wf,milite,ADV,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000038,1,,,
38,locato,6162278,loco@V,lta-multiple-wfs-unique-lemma,loco,V,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000039,1,,,
39,per,109612,per@AP,lta-unique-wf,per,AP,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000040,1,,,
40,stationes,243465651,statio@NN,lta-multiple-wfs-unique-lemma,statio,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000041,1,,,
41,hibernas,2386182,hibernus@ADJ,lta-unique-wf,hibernus,ADJ,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000042,1,,,
42,",",PUNC,PUNC@PUNC,PUNC,PUNC,PUNC,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000043,1,,,
43,fortunae,1039533,fortuna@NN,lta-multiple-wfs-unique-lemma,fortuna,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000044,1,,,
44,saevientis,1337758,saeviens@NN,lta-unique-wf,saeviens,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000045,1,,,
45,procellae,1279979,procella@NN,lta-multiple-wfs-unique-lemma,procella,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000046,1,,,
46,tempestates,1412629,tempestas@NN,lta-multiple-wfs-unique-lemma,tempestas,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000047,1,,,
47,alias,244509346,alius@PRO,lta-unique-wf,alius,PRO,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000048,1,,,
48,rebus,242825947,res@NN,lta-multiple-wfs-unique-lemma,res,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000049,1,,,
49,infudere,5852372,infundo@V,lta-unique-wf,infundo,V,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000050,1,,,
50,communibus,1940109,communis@ADJ,lta-multiple-wfs-unique-lemma,communis,ADJ,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000051,1,,,
51,per,109612,per@AP,lta-unique-wf,per,AP,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000052,1,,,
52,multa,1177769,multum@NN,lta-multiple-wfs-unique-lemma,multum,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000053,1,,,
53,illa,244509856,ille@PRO,lta-multiple-wfs-unique-lemma,ille,PRO,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000054,1,,,
54,et,109830,et@CON,lta-unique-wf,et,CON,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000055,1,,,
55,dira,2195416,dirus@ADJ,lta-multiple-wfs-unique-lemma,dirus,ADJ,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000056,1,,,
56,facinora,1025773,facinus@NN,lta-multiple-wfs-unique-lemma,facinus,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000057,1,,,
57,Caesaris,340296,Caesar@NP,lta-unique-wf,Caesar,NP,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000058,1,B-PERS,RE-Constantius_5,
58,Galli,243199992,Galli@NE,lta-unique-wf,Galli,NE,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000059,1,I-PERS,RE-Constantius_5,
59,",",PUNC,PUNC@PUNC,PUNC,PUNC,PUNC,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000060,1,,,
60,qui,597967091,qui@ADV,lta-unique-wf,qui,ADV,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000061,1,,,
61,ex,109567,ex@AP,lta-unique-wf,ex,AP,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000062,1,,,
62,squalore,244750521,squalor@NN,lta-unique-wf,squalor,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000063,1,,,
63,imo,244031186,infer@ADJ,lta-multiple-wfs-unique-lemma,infer,ADJ,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000064,1,,,
64,miseriarum,1170261,miseria@NN,lta-unique-wf,miseria,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000065,1,,,
65,in,109579,in@AP,lta-unique-wf,in,AP,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000066,1,,,
66,aetatis,731900,aetas@NN,lta-unique-wf,aetas,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000067,1,,,
67,adultae,1549838,adultus@ADJ,lta-multiple-wfs-unique-lemma,adultus,ADJ,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000068,1,,,
68,primitiis,243431542,primitia@NN,lta-multiple-wfs-unique-lemma,primitia,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000069,1,,,
69,ad,109455,ad@AP,lta-unique-wf,ad,AP,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000070,1,,,
70,principale,242469483,principalis@ADJ,lta-multiple-wfs-unique-lemma,principalis,ADJ,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000071,1,,,
71,culmen,243309269,culmen@NN,lta-multiple-wfs-unique-lemma,culmen,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000072,1,,,
72,insperato,2522718,insperatus@ADJ,lta-multiple-wfs-unique-lemma,insperatus,ADJ,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000073,1,,,
73,saltu,241033220,saltus@NN,lta-unique-wf,saltus,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000074,1,,,
74,provectus,1290730,provectus@NN,lta-multiple-wfs-unique-lemma,provectus,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000075,1,,,
75,ultra,242741639,ulter@ADJ,lta-multiple-wfs-unique-lemma,ulter,ADJ,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000076,1,,,
76,terminos,1414712,terminus@NN,lta-unique-wf,terminus,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000077,1,,,
77,potestatis,1266230,potestas@NN,lta-unique-wf,potestas,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000078,1,,,
78,delatae,4742794,defero@V,lta-multiple-wfs-unique-lemma,defero,V,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000079,1,,,
79,procurrens,6902569,procurro@V,lta-multiple-wfs-unique-lemma,procurro,V,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000080,1,,,
80,asperitate,243260438,asperitas@NN,lta-unique-wf,asperitas,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000081,1,,,
81,nimia,243402515,nimium@NN,lta-multiple-wfs-unique-lemma,nimium,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000082,1,,,
82,cuncta,4667551,cuncto@V,lta-unique-wf,cuncto,V,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000083,1,,,
83,foedabat,5533053,foedo@V,lta-unique-wf,foedo,V,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000084,1,,,
84,.,PUNC,PUNC@PUNC,PUNC,PUNC,PUNC,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000085,1,,,
85,Propinquitate,243434977,propinquitas@NN,lta-unique-wf,propinquitas,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000086,2,,,
86,enim,109823,enim@CON,lta-unique-wf,enim,CON,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000087,2,,,
87,regiae,2964831,regius@ADJ,lta-multiple-wfs-unique-lemma,regius,ADJ,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000088,2,,,
88,stirpis,1375979,stirps@NN,lta-unique-wf,stirps,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000089,2,,,
89,gentilitateque,606542683,gentilitas@NN,lta-unique-wf,gentilitas,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000090,2,,,
90,etiam,109836,etiam@CON,lta-unique-wf,etiam,CON,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000091,2,,,
91,tum,248803,tum@ADV,lta-unique-wf,tum,ADV,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000092,2,,,
92,Constantini,358973,Constantinus@NP,lta-unique-wf,Constantinus,NP,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000093,2,B-PERS,RE-Constantinus_2,
93,nominis,1191780,nomen@NN,lta-unique-wf,nomen,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000094,2,,,
94,efferebatur,5145447,effero@V,lta-multiple-wfs-unique-lemma,effero,V,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000095,2,,,
95,in,109579,in@AP,lta-unique-wf,in,AP,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000096,2,,,
96,fastus,243346033,fastus@NN,lta-multiple-wfs-unique-lemma,fastus,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000097,2,,,
97,",",PUNC,PUNC@PUNC,PUNC,PUNC,PUNC,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000098,2,,,
98,si,110022,si@CON,lta-unique-wf,si,CON,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000099,2,,,
99,plus,204353,multum@ADV,lta-unique-wf,multum,ADV,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000100,2,,,
100,valuisset,7940462,valeo@V,lta-unique-wf,valeo,V,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000101,2,,,
101,",",PUNC,PUNC@PUNC,PUNC,PUNC,PUNC,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000102,2,,,
102,ausurus,241725480,ausurus@ADJ,lta-unique-wf,ausurus,ADJ,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000103,2,,,
103,hostilia,243359452,hostilia@NN,lta-multiple-wfs-unique-lemma,hostilia,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000104,2,,,
104,in,109579,in@AP,lta-unique-wf,in,AP,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000105,2,,,
105,auctorem,243264117,auctor@NN,lta-unique-wf,auctor,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000106,2,,,
106,suae,245550214,suus@PRO,lta-multiple-wfs-unique-lemma,suus,PRO,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000107,2,,,
107,felicitatis,5488961,felicito@V,lta-multiple-wfs-unique-lemma,felicito,V,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000108,2,,,
108,",",PUNC,PUNC@PUNC,PUNC,PUNC,PUNC,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000109,2,,,
109,ut,110063,ut@CON,lta-unique-wf,ut,CON,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000110,2,,,
110,videbatur,8004796,video@V,lta-unique-wf,video,V,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000111,2,,,
111,.,PUNC,PUNC@PUNC,PUNC,PUNC,PUNC,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000112,2,,,
112,2,241346596,NUMERAL@NUM,lta-unique-wf,NUMERAL,NUM,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000113,3,,,
113,Cuius,296826593,qui@PRO,lta-multiple-wfs-unique-lemma,qui,PRO,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000114,3,,,
114,acerbitati,243237543,acerbitas@NN,lta-multiple-wfs-unique-lemma,acerbitas,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000115,3,,,
115,uxor,1444132,uxor@NN,lta-multiple-wfs-unique-lemma,uxor,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000116,3,,,
116,grave,243166646,graviter@ADV,lta-multiple-super-lemmata,graviter,ADV,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000117,3,,,
117,accesserat,3376641,accedo@V,lta-unique-wf,accedo,V,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000118,3,,,
118,incentivum,1087604,incentivum@NN,lta-multiple-wfs-unique-lemma,incentivum,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000119,3,,,
119,",",PUNC,PUNC@PUNC,PUNC,PUNC,PUNC,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000120,3,,,
120,germanitate,243353784,germanitas@NN,lta-unique-wf,germanitas,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000121,3,,,
121,Augusti,312781,Augustus@NP,lta-multiple-wfs-unique-lemma,Augustus,NP,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000122,3,B-PERS,RE-Constantius_4,
122,turgida,3224129,turgidus@ADJ,lta-multiple-wfs-unique-lemma,turgidus,ADJ,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000123,3,,,
123,supra,244437,supra@ADV,lta-unique-wf,supra,ADV,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000124,3,,,
124,modum,1171879,modus@NN,lta-unique-wf,modus,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000125,3,,,
125,",",PUNC,PUNC@PUNC,PUNC,PUNC,PUNC,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000126,3,,,
126,quam,109931,quam@CON,lta-unique-wf,quam,CON,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000127,3,,,
127,Hannibaliano,,,lta-not-yet-linked,,,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000128,3,B-PERS,RE-Hannibalianus_3,
128,regi,236891161,rex@NN,lta-unique-wf,rex,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000129,3,I-PERS,RE-Hannibalianus_3,
129,fratris,1040510,frater@NN,lta-unique-wf,frater,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000130,3,,,
130,filio,243348000,filius@NN,lta-multiple-wfs-unique-lemma,filius,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000131,3,,,
131,antehac,122901,antehac@ADV,lta-unique-wf,antehac,ADV,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000132,3,,,
132,Constantinus,358975,Constantinus@NP,lta-unique-wf,Constantinus,NP,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000133,3,B-PERS,RE-Constantinus_2,
133,iunxerat,6083195,iungo@V,lta-unique-wf,iungo,V,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000134,3,,,
134,pater,510638003,pater@NN,lta-multiple-wfs-unique-lemma,pater,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000135,3,,,
135,",",PUNC,PUNC@PUNC,PUNC,PUNC,PUNC,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000136,3,,,
136,Megaera,523475,Megaera@NP,lta-multiple-wfs-unique-lemma,Megaera,NP,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000137,3,B-PERS,GOD,
137,quaedam,244511152,quidam@PRO,lta-multiple-wfs-unique-lemma,quidam,PRO,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000138,3,,,
138,mortalis,2672952,mortalis@ADJ,lta-multiple-wfs-unique-lemma,mortalis,ADJ,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000139,3,,,
139,",",PUNC,PUNC@PUNC,PUNC,PUNC,PUNC,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000140,3,,,
140,inflammatrix,1095816,inflammatrix@NN,lta-multiple-wfs-unique-lemma,inflammatrix,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000141,3,,,
141,saevientis,7291182,saevio@V,lta-multiple-wfs-unique-lemma,saevio,V,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000142,3,,,
142,adsidua,1682651,assiduus@ADJ,lta-multiple-wfs-unique-lemma,assiduus,ADJ,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000143,3,,,
143,",",PUNC,PUNC@PUNC,PUNC,PUNC,PUNC,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000144,3,,,
144,humani,2396711,humanus@ADJ,lta-multiple-wfs-unique-lemma,humanus,ADJ,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000145,3,,,
145,cruoris,243308522,cruor@NN,lta-multiple-wfs-unique-lemma,cruor,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000146,3,,,
146,avida,1729826,avidus@ADJ,lta-multiple-wfs-unique-lemma,avidus,ADJ,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000147,3,,,
147,nihil,496762542,nemo@PRO,lta-multiple-wfs-unique-lemma,nemo,PRO,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000148,3,,,
148,mitius,2665284,mitis@ADJ,lta-multiple-wfs-unique-lemma,mitis,ADJ,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000149,3,,,
149,quam,225506,quam@ADV,lta-unique-wf,quam,ADV,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000150,3,,,
150,maritus,1158032,maritus@NN,lta-unique-wf,maritus,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000151,3,,,
151,;,PUNC,PUNC@PUNC,PUNC,PUNC,PUNC,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000152,3,,,
152,qui,597967091,qui@ADV,lta-unique-wf,qui,ADV,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000153,3,,,
153,paulatim,211845,paulatim@ADV,lta-unique-wf,paulatim,ADV,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000154,3,,,
154,eruditiores,2259723,eruditus@ADJ,lta-multiple-wfs-unique-lemma,eruditus,ADJ,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000155,3,,,
155,facti,1025929,factum@NN,lta-unique-wf,factum,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000156,3,,,
156,processu,495730670,processus@NN,lta-unique-wf,processus,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000157,3,,,
157,temporis,1412970,tempus@NN,lta-unique-wf,tempus,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000158,3,,,
158,ad,109455,ad@AP,lta-unique-wf,ad,AP,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000159,3,,,
159,nocendum,499329011,noceo@V,lta-multiple-wfs-unique-lemma,noceo,V,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000160,3,,,
160,per,109612,per@AP,lta-unique-wf,per,AP,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000161,3,,,
161,clandestinos,1886283,clandestinus@ADJ,lta-unique-wf,clandestinus,ADJ,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000162,3,,,
162,versutosque,606542682,versutus@ADJ,lta-unique-wf,versutus,ADJ,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000163,3,,,
163,rumigerulos,,,lta-not-yet-linked,,,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000164,3,,,
164,conpertis,4326970,comperio@V,lta-multiple-wfs-unique-lemma,comperio,V,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000165,3,,,
165,leviter,198991,leviter@ADV,lta-unique-wf,leviter,ADV,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000166,3,,,
166,addere,3434972,addo@V,lta-multiple-wfs-unique-lemma,addo,V,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000167,3,,,
167,quaedam,244511152,quidam@PRO,lta-multiple-wfs-unique-lemma,quidam,PRO,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000168,3,,,
168,male,201174,male@ADV,lta-unique-wf,male,ADV,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000169,3,,,
169,suetos,1393021,suetus@NN,lta-multiple-wfs-unique-lemma,suetus,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000170,3,,,
170,falsa,1026903,falsum@NN,lta-multiple-wfs-unique-lemma,falsum,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000171,3,,,
171,et,109830,et@CON,lta-unique-wf,et,CON,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000172,3,,,
172,placentia,1256643,placentia@NN,lta-multiple-wfs-unique-lemma,placentia,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000173,3,,,
173,sibi,554766465,sui@PRO,lta-multiple-wfs-unique-lemma,sui,PRO,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000174,3,,,
174,discentes,5027081,disco@V,lta-multiple-wfs-unique-lemma,disco,V,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000175,3,,,
175,",",PUNC,PUNC@PUNC,PUNC,PUNC,PUNC,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000176,3,,,
176,adfectati,1571485,affectatus@ADJ,lta-multiple-wfs-unique-lemma,affectatus,ADJ,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000177,3,,,
177,regni,1315316,regnum@NN,lta-unique-wf,regnum,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000178,3,,,
178,vel,110080,vel@CON,lta-unique-wf,vel,CON,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000179,3,,,
179,artium,540415269,ars@NN,lta-unique-wf,ars,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000180,3,,,
180,nefandarum,502272827,nefandus@ADJ,lta-multiple-wfs-unique-lemma,nefandus,ADJ,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000181,3,,,
181,calumnias,827002,calumnia@NN,lta-multiple-wfs-unique-lemma,calumnia,NN,tokenURI=24819722_ammianus_marcellinus_res_gestae_t_00000182,3,,,
